Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player is getting closer to the ball, reward applied (+0.1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x1).
Player power hit, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Player is above the ball, penalty applied (-1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x0.8).
Player power hit, reward applied (+1).
Player is getting closer to the ball, reward applied (+0.1).
Player is above the ball, penalty applied (-1).
Power hit, penalty applied (-0.2).
Player hit the ball, reward applied (+5x0.6400000000000001).
Player power hit, reward applied (+1).
Player is above the ball, penalty applied (-1).
Power hit, penalty applied (-0.2).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Ball passed the net, reward applied (+14).
Ball passed the net with power hit, reward applied (+1).
Ball touching ground on opponent's side, reward applied (+70).
💾 Saving model at block 57

🎯 Start training block 58
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 59.3     |
|    ep_rew_mean     | 20.5     |
| time/              |          |
|    fps             | 599      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 1783808  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.6        |
|    ep_rew_mean          | 13.8        |
| time/                   |             |
|    fps                  | 542         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 1785856     |
| train/                  |             |
|    approx_kl            | 0.022109572 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.477       |
|    learning_rate        | 0.0003      |
|    loss                 | 148         |
|    n_updates            | 8710        |
|    policy_gradient_loss | -0.00811    |
|    value_loss           | 493         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.3        |
|    ep_rew_mean          | 16.1        |
| time/                   |             |
|    fps                  | 527         |
|    iterations           | 3           |
|    time_elapsed         | 11          |
|    total_timesteps      | 1787904     |
| train/                  |             |
|    approx_kl            | 0.038586244 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.1        |
|    explained_variance   | 0.495       |
|    learning_rate        | 0.0003      |
|    loss                 | 146         |
|    n_updates            | 8720        |
|    policy_gradient_loss | 0.00268     |
|    value_loss           | 394         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.6        |
|    ep_rew_mean          | 15.8        |
| time/                   |             |
|    fps                  | 521         |
|    iterations           | 4           |
|    time_elapsed         | 15          |
|    total_timesteps      | 1789952     |
| train/                  |             |
|    approx_kl            | 0.013991166 |
|    clip_fraction        | 0.0925      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.537       |
|    learning_rate        | 0.0003      |
|    loss                 | 115         |
|    n_updates            | 8730        |
|    policy_gradient_loss | -0.0067     |
|    value_loss           | 389         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.8        |
|    ep_rew_mean          | 11.3        |
| time/                   |             |
|    fps                  | 516         |
|    iterations           | 5           |
|    time_elapsed         | 19          |
|    total_timesteps      | 1792000     |
| train/                  |             |
|    approx_kl            | 0.021786548 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.622       |
|    learning_rate        | 0.0003      |
|    loss                 | 186         |
|    n_updates            | 8740        |
|    policy_gradient_loss | -0.00808    |
|    value_loss           | 449         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.3        |
|    ep_rew_mean          | 8.14        |
| time/                   |             |
|    fps                  | 512         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 1794048     |
| train/                  |             |
|    approx_kl            | 0.017357863 |
|    clip_fraction        | 0.0875      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.484       |
|    learning_rate        | 0.0003      |
|    loss                 | 209         |
|    n_updates            | 8750        |
|    policy_gradient_loss | -0.00379    |
|    value_loss           | 470         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.6        |
|    ep_rew_mean          | 19.7        |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 7           |
|    time_elapsed         | 28          |
|    total_timesteps      | 1796096     |
| train/                  |             |
|    approx_kl            | 0.023715125 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.14       |
|    explained_variance   | 0.544       |
|    learning_rate        | 0.0003      |
|    loss                 | 154         |
|    n_updates            | 8760        |
|    policy_gradient_loss | -0.00519    |
|    value_loss           | 499         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.9        |
|    ep_rew_mean          | 9.6         |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 8           |
|    time_elapsed         | 32          |
|    total_timesteps      | 1798144     |
| train/                  |             |
|    approx_kl            | 0.027182747 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.495       |
|    learning_rate        | 0.0003      |
|    loss                 | 116         |
|    n_updates            | 8770        |
|    policy_gradient_loss | -0.00493    |
|    value_loss           | 299         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62          |
|    ep_rew_mean          | 13.3        |
| time/                   |             |
|    fps                  | 506         |
|    iterations           | 9           |
|    time_elapsed         | 36          |
|    total_timesteps      | 1800192     |
| train/                  |             |
|    approx_kl            | 0.018137176 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.581       |
|    learning_rate        | 0.0003      |
|    loss                 | 147         |
|    n_updates            | 8780        |
|    policy_gradient_loss | -0.0019     |
|    value_loss           | 387         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.1        |
|    ep_rew_mean          | 8.36        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 10          |
|    time_elapsed         | 40          |
|    total_timesteps      | 1802240     |
| train/                  |             |
|    approx_kl            | 0.021667376 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.997      |
|    explained_variance   | 0.587       |
|    learning_rate        | 0.0003      |
|    loss                 | 86.6        |
|    n_updates            | 8790        |
|    policy_gradient_loss | 0.00332     |
|    value_loss           | 356         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.6        |
|    ep_rew_mean          | 20.9        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 11          |
|    time_elapsed         | 44          |
|    total_timesteps      | 1804288     |
| train/                  |             |
|    approx_kl            | 0.017026663 |
|    clip_fraction        | 0.098       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.09       |
|    explained_variance   | 0.566       |
|    learning_rate        | 0.0003      |
|    loss                 | 384         |
|    n_updates            | 8800        |
|    policy_gradient_loss | -0.00595    |
|    value_loss           | 616         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58.4        |
|    ep_rew_mean          | 24.3        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 12          |
|    time_elapsed         | 48          |
|    total_timesteps      | 1806336     |
| train/                  |             |
|    approx_kl            | 0.017068151 |
|    clip_fraction        | 0.0972      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.557       |
|    learning_rate        | 0.0003      |
|    loss                 | 183         |
|    n_updates            | 8810        |
|    policy_gradient_loss | -0.0048     |
|    value_loss           | 423         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 64.8       |
|    ep_rew_mean          | 26.7       |
| time/                   |            |
|    fps                  | 507        |
|    iterations           | 13         |
|    time_elapsed         | 52         |
|    total_timesteps      | 1808384    |
| train/                  |            |
|    approx_kl            | 0.01898497 |
|    clip_fraction        | 0.089      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.995     |
|    explained_variance   | 0.54       |
|    learning_rate        | 0.0003     |
|    loss                 | 293        |
|    n_updates            | 8820       |
|    policy_gradient_loss | -0.00399   |
|    value_loss           | 476        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58.2        |
|    ep_rew_mean          | 28.1        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 14          |
|    time_elapsed         | 56          |
|    total_timesteps      | 1810432     |
| train/                  |             |
|    approx_kl            | 0.025856078 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.601       |
|    learning_rate        | 0.0003      |
|    loss                 | 63.5        |
|    n_updates            | 8830        |
|    policy_gradient_loss | -0.00605    |
|    value_loss           | 346         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.6        |
|    ep_rew_mean          | 31.3        |
| time/                   |             |
|    fps                  | 507         |
|    iterations           | 15          |
|    time_elapsed         | 60          |
|    total_timesteps      | 1812480     |
| train/                  |             |
|    approx_kl            | 0.033672407 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.483       |
|    learning_rate        | 0.0003      |
|    loss                 | 198         |
|    n_updates            | 8840        |
|    policy_gradient_loss | 0.00272     |
|    value_loss           | 516         |
-----------------------------------------
👁️  Visualizing test match
Ball touching ground on opponent's side, reward applied (+70).
💾 Saving model at block 58

🎯 Start training block 59
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 55.9     |
|    ep_rew_mean     | 29.6     |
| time/              |          |
|    fps             | 628      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 1814528  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.4        |
|    ep_rew_mean          | 28.2        |
| time/                   |             |
|    fps                  | 562         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 1816576     |
| train/                  |             |
|    approx_kl            | 0.021490565 |
|    clip_fraction        | 0.116       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.576       |
|    learning_rate        | 0.0003      |
|    loss                 | 108         |
|    n_updates            | 8860        |
|    policy_gradient_loss | 0.00281     |
|    value_loss           | 346         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.3        |
|    ep_rew_mean          | 24.3        |
| time/                   |             |
|    fps                  | 540         |
|    iterations           | 3           |
|    time_elapsed         | 11          |
|    total_timesteps      | 1818624     |
| train/                  |             |
|    approx_kl            | 0.015080513 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.529       |
|    learning_rate        | 0.0003      |
|    loss                 | 118         |
|    n_updates            | 8870        |
|    policy_gradient_loss | -0.00745    |
|    value_loss           | 466         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.3        |
|    ep_rew_mean          | 23          |
| time/                   |             |
|    fps                  | 531         |
|    iterations           | 4           |
|    time_elapsed         | 15          |
|    total_timesteps      | 1820672     |
| train/                  |             |
|    approx_kl            | 0.029794835 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.972      |
|    explained_variance   | 0.58        |
|    learning_rate        | 0.0003      |
|    loss                 | 159         |
|    n_updates            | 8880        |
|    policy_gradient_loss | -0.00562    |
|    value_loss           | 317         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62          |
|    ep_rew_mean          | 21.4        |
| time/                   |             |
|    fps                  | 528         |
|    iterations           | 5           |
|    time_elapsed         | 19          |
|    total_timesteps      | 1822720     |
| train/                  |             |
|    approx_kl            | 0.018183976 |
|    clip_fraction        | 0.0931      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.975      |
|    explained_variance   | 0.604       |
|    learning_rate        | 0.0003      |
|    loss                 | 134         |
|    n_updates            | 8890        |
|    policy_gradient_loss | -0.00818    |
|    value_loss           | 396         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 67.8        |
|    ep_rew_mean          | 21.6        |
| time/                   |             |
|    fps                  | 524         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 1824768     |
| train/                  |             |
|    approx_kl            | 0.033926822 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.668       |
|    learning_rate        | 0.0003      |
|    loss                 | 102         |
|    n_updates            | 8900        |
|    policy_gradient_loss | -0.00198    |
|    value_loss           | 322         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 64.3       |
|    ep_rew_mean          | 23.1       |
| time/                   |            |
|    fps                  | 522        |
|    iterations           | 7          |
|    time_elapsed         | 27         |
|    total_timesteps      | 1826816    |
| train/                  |            |
|    approx_kl            | 0.01986574 |
|    clip_fraction        | 0.1        |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.985     |
|    explained_variance   | 0.452      |
|    learning_rate        | 0.0003     |
|    loss                 | 106        |
|    n_updates            | 8910       |
|    policy_gradient_loss | -0.00332   |
|    value_loss           | 412        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.3        |
|    ep_rew_mean          | 27.2        |
| time/                   |             |
|    fps                  | 521         |
|    iterations           | 8           |
|    time_elapsed         | 31          |
|    total_timesteps      | 1828864     |
| train/                  |             |
|    approx_kl            | 0.043742992 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.537       |
|    learning_rate        | 0.0003      |
|    loss                 | 207         |
|    n_updates            | 8920        |
|    policy_gradient_loss | -0.000484   |
|    value_loss           | 400         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.3        |
|    ep_rew_mean          | 23.4        |
| time/                   |             |
|    fps                  | 519         |
|    iterations           | 9           |
|    time_elapsed         | 35          |
|    total_timesteps      | 1830912     |
| train/                  |             |
|    approx_kl            | 0.024781622 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.442       |
|    learning_rate        | 0.0003      |
|    loss                 | 132         |
|    n_updates            | 8930        |
|    policy_gradient_loss | -0.00547    |
|    value_loss           | 413         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.8        |
|    ep_rew_mean          | 12.8        |
| time/                   |             |
|    fps                  | 518         |
|    iterations           | 10          |
|    time_elapsed         | 39          |
|    total_timesteps      | 1832960     |
| train/                  |             |
|    approx_kl            | 0.027509725 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.948      |
|    explained_variance   | 0.468       |
|    learning_rate        | 0.0003      |
|    loss                 | 134         |
|    n_updates            | 8940        |
|    policy_gradient_loss | -0.00396    |
|    value_loss           | 287         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 59.2      |
|    ep_rew_mean          | 11.7      |
| time/                   |           |
|    fps                  | 517       |
|    iterations           | 11        |
|    time_elapsed         | 43        |
|    total_timesteps      | 1835008   |
| train/                  |           |
|    approx_kl            | 0.0410818 |
|    clip_fraction        | 0.126     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.02     |
|    explained_variance   | 0.527     |
|    learning_rate        | 0.0003    |
|    loss                 | 167       |
|    n_updates            | 8950      |
|    policy_gradient_loss | -0.00264  |
|    value_loss           | 489       |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 56.4       |
|    ep_rew_mean          | 10.6       |
| time/                   |            |
|    fps                  | 517        |
|    iterations           | 12         |
|    time_elapsed         | 47         |
|    total_timesteps      | 1837056    |
| train/                  |            |
|    approx_kl            | 0.01250989 |
|    clip_fraction        | 0.0896     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.964     |
|    explained_variance   | 0.58       |
|    learning_rate        | 0.0003     |
|    loss                 | 249        |
|    n_updates            | 8960       |
|    policy_gradient_loss | -0.00494   |
|    value_loss           | 459        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.5        |
|    ep_rew_mean          | 28.7        |
| time/                   |             |
|    fps                  | 515         |
|    iterations           | 13          |
|    time_elapsed         | 51          |
|    total_timesteps      | 1839104     |
| train/                  |             |
|    approx_kl            | 0.037637133 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.969      |
|    explained_variance   | 0.486       |
|    learning_rate        | 0.0003      |
|    loss                 | 138         |
|    n_updates            | 8970        |
|    policy_gradient_loss | -0.00369    |
|    value_loss           | 371         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 62.4        |
|    ep_rew_mean          | 37.2        |
| time/                   |             |
|    fps                  | 513         |
|    iterations           | 14          |
|    time_elapsed         | 55          |
|    total_timesteps      | 1841152     |
| train/                  |             |
|    approx_kl            | 0.024926174 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.936      |
|    explained_variance   | 0.565       |
|    learning_rate        | 0.0003      |
|    loss                 | 139         |
|    n_updates            | 8980        |
|    policy_gradient_loss | -0.00049    |
|    value_loss           | 345         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 66.1        |
|    ep_rew_mean          | 40.2        |
| time/                   |             |
|    fps                  | 511         |
|    iterations           | 15          |
|    time_elapsed         | 60          |
|    total_timesteps      | 1843200     |
| train/                  |             |
|    approx_kl            | 0.024817983 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.923      |
|    explained_variance   | 0.548       |
|    learning_rate        | 0.0003      |
|    loss                 | 133         |
|    n_updates            | 8990        |
|    policy_gradient_loss | -0.00452    |
|    value_loss           | 355         |
-----------------------------------------
👁️  Visualizing test match
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Player hit the ball, reward applied (+5x1).
Player is getting closer to the ball, reward applied (+0.1).
Ball passed the net, reward applied (+14).
Ball touching ground on opponent's side, reward applied (+70).
💾 Saving model at block 59

🎯 Start training block 60
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 64.3     |
|    ep_rew_mean     | 34.4     |
| time/              |          |
|    fps             | 609      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 1845248  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.8        |
|    ep_rew_mean          | 27.4        |
| time/                   |             |
|    fps                  | 551         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 1847296     |
| train/                  |             |
|    approx_kl            | 0.017126858 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.941      |
|    explained_variance   | 0.565       |
|    learning_rate        | 0.0003      |
|    loss                 | 152         |
|    n_updates            | 9010        |
|    policy_gradient_loss | -0.00462    |
|    value_loss           | 394         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.2        |
|    ep_rew_mean          | 26.9        |
| time/                   |             |
|    fps                  | 537         |
|    iterations           | 3           |
|    time_elapsed         | 11          |
|    total_timesteps      | 1849344     |
| train/                  |             |
|    approx_kl            | 0.028561061 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.945      |
|    explained_variance   | 0.493       |
|    learning_rate        | 0.0003      |
|    loss                 | 198         |
|    n_updates            | 9020        |
|    policy_gradient_loss | -0.007      |
|    value_loss           | 458         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 66         |
|    ep_rew_mean          | 29.8       |
| time/                   |            |
|    fps                  | 532        |
|    iterations           | 4          |
|    time_elapsed         | 15         |
|    total_timesteps      | 1851392    |
| train/                  |            |
|    approx_kl            | 0.03173071 |
|    clip_fraction        | 0.121      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.95      |
|    explained_variance   | 0.472      |
|    learning_rate        | 0.0003     |
|    loss                 | 72.5       |
|    n_updates            | 9030       |
|    policy_gradient_loss | -0.00256   |
|    value_loss           | 376        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61          |
|    ep_rew_mean          | 27.2        |
| time/                   |             |
|    fps                  | 529         |
|    iterations           | 5           |
|    time_elapsed         | 19          |
|    total_timesteps      | 1853440     |
| train/                  |             |
|    approx_kl            | 0.046434462 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.584       |
|    learning_rate        | 0.0003      |
|    loss                 | 146         |
|    n_updates            | 9040        |
|    policy_gradient_loss | -0.00061    |
|    value_loss           | 404         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.3        |
|    ep_rew_mean          | 28.2        |
| time/                   |             |
|    fps                  | 525         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 1855488     |
| train/                  |             |
|    approx_kl            | 0.021341354 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.946      |
|    explained_variance   | 0.657       |
|    learning_rate        | 0.0003      |
|    loss                 | 185         |
|    n_updates            | 9050        |
|    policy_gradient_loss | 0.000555    |
|    value_loss           | 409         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.1        |
|    ep_rew_mean          | 31.5        |
| time/                   |             |
|    fps                  | 522         |
|    iterations           | 7           |
|    time_elapsed         | 27          |
|    total_timesteps      | 1857536     |
| train/                  |             |
|    approx_kl            | 0.032046355 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.925      |
|    explained_variance   | 0.651       |
|    learning_rate        | 0.0003      |
|    loss                 | 96.2        |
|    n_updates            | 9060        |
|    policy_gradient_loss | -0.00302    |
|    value_loss           | 274         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.9        |
|    ep_rew_mean          | 38.2        |
| time/                   |             |
|    fps                  | 521         |
|    iterations           | 8           |
|    time_elapsed         | 31          |
|    total_timesteps      | 1859584     |
| train/                  |             |
|    approx_kl            | 0.026093397 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.962      |
|    explained_variance   | 0.52        |
|    learning_rate        | 0.0003      |
|    loss                 | 170         |
|    n_updates            | 9070        |
|    policy_gradient_loss | -0.00261    |
|    value_loss           | 397         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.1        |
|    ep_rew_mean          | 45.3        |
| time/                   |             |
|    fps                  | 520         |
|    iterations           | 9           |
|    time_elapsed         | 35          |
|    total_timesteps      | 1861632     |
| train/                  |             |
|    approx_kl            | 0.018296279 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.959      |
|    explained_variance   | 0.479       |
|    learning_rate        | 0.0003      |
|    loss                 | 159         |
|    n_updates            | 9080        |
|    policy_gradient_loss | -0.0017     |
|    value_loss           | 396         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.4        |
|    ep_rew_mean          | 44.1        |
| time/                   |             |
|    fps                  | 518         |
|    iterations           | 10          |
|    time_elapsed         | 39          |
|    total_timesteps      | 1863680     |
| train/                  |             |
|    approx_kl            | 0.052556537 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.408       |
|    learning_rate        | 0.0003      |
|    loss                 | 99.2        |
|    n_updates            | 9090        |
|    policy_gradient_loss | 0.00174     |
|    value_loss           | 228         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 61.3       |
|    ep_rew_mean          | 39.5       |
| time/                   |            |
|    fps                  | 516        |
|    iterations           | 11         |
|    time_elapsed         | 43         |
|    total_timesteps      | 1865728    |
| train/                  |            |
|    approx_kl            | 0.04321987 |
|    clip_fraction        | 0.106      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.03      |
|    explained_variance   | 0.37       |
|    learning_rate        | 0.0003     |
|    loss                 | 142        |
|    n_updates            | 9100       |
|    policy_gradient_loss | -0.000942  |
|    value_loss           | 460        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65.2        |
|    ep_rew_mean          | 29.1        |
| time/                   |             |
|    fps                  | 515         |
|    iterations           | 12          |
|    time_elapsed         | 47          |
|    total_timesteps      | 1867776     |
| train/                  |             |
|    approx_kl            | 0.024715237 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.576       |
|    learning_rate        | 0.0003      |
|    loss                 | 155         |
|    n_updates            | 9110        |
|    policy_gradient_loss | 0.00161     |
|    value_loss           | 339         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 67         |
|    ep_rew_mean          | 32.8       |
| time/                   |            |
|    fps                  | 515        |
|    iterations           | 13         |
|    time_elapsed         | 51         |
|    total_timesteps      | 1869824    |
| train/                  |            |
|    approx_kl            | 0.02745011 |
|    clip_fraction        | 0.115      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.04      |
|    explained_variance   | 0.48       |
|    learning_rate        | 0.0003     |
|    loss                 | 183        |
|    n_updates            | 9120       |
|    policy_gradient_loss | -0.00311   |
|    value_loss           | 472        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 66.2       |
|    ep_rew_mean          | 35.6       |
| time/                   |            |
|    fps                  | 514        |
|    iterations           | 14         |
|    time_elapsed         | 55         |
|    total_timesteps      | 1871872    |
| train/                  |            |
|    approx_kl            | 0.01832484 |
|    clip_fraction        | 0.0996     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.01      |
|    explained_variance   | 0.498      |
|    learning_rate        | 0.0003     |
|    loss                 | 158        |
|    n_updates            | 9130       |
|    policy_gradient_loss | -0.00256   |
|    value_loss           | 320        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 70.4       |
|    ep_rew_mean          | 39.2       |
| time/                   |            |
|    fps                  | 514        |
|    iterations           | 15         |
|    time_elapsed         | 59         |
|    total_timesteps      | 1873920    |
| train/                  |            |
|    approx_kl            | 0.11515717 |
|    clip_fraction        | 0.207      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.04      |
|    explained_variance   | 0.649      |
|    learning_rate        | 0.0003     |
|    loss                 | 73.3       |
|    n_updates            | 9140       |
|    policy_gradient_loss | 0.00333    |
|    value_loss           | 331        |
----------------------------------------
♻️  Updating opponent model with latest weights
👁️  Visualizing test match
Player is getting closer to the ball, reward applied (+0.1).
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Player is jumping, penalty applied (-0.3).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Player is getting closer to the ball, reward applied (+0.1).
Player is above the ball, penalty applied (-1).
Player is getting closer to the ball, reward applied (+0.1).
